player,runs,balls,dismissals,matches,avg,sr
A Ashish Reddy,266,181,14,22,19.0,146.96
A Badoni,903,660,36,45,25.08,136.82
A Chandila,4,7,1,2,4.0,57.14
A Chopra,53,71,5,6,10.6,74.65
A Choudhary,25,20,2,3,12.5,125.0
A Dananjaya,4,5,0,1,4.0,80.0
A Flintoff,62,53,2,3,31.0,116.98
A Kamboj,16,14,2,6,8.0,114.29
A Kumble,35,47,2,15,17.5,74.47
A Manohar,292,235,19,20,15.37,124.26
A Mhatre,240,127,7,7,34.29,188.98
A Mishra,380,417,30,55,12.67,91.13
A Mithun,34,26,5,6,6.8,130.77
A Mukund,19,22,2,2,9.5,86.36
A Nehra,39,60,8,17,4.88,65.0
A Nortje,46,48,5,12,9.2,95.83
A Raghuvanshi,463,319,16,18,28.94,145.14
A Singh,2,9,4,5,0.5,22.22
A Symonds,973,745,25,36,38.92,130.6
A Tomar,4,8,1,1,4.0,50.0
A Uniyal,4,7,1,2,4.0,57.14
A Zampa,15,24,5,5,3.0,62.5
AA Bilakhia,69,84,5,7,13.8,82.14
AA Chavan,12,11,1,3,12.0,109.09
AA Jhunjhunwala,217,209,14,15,15.5,103.83
AA Kulkarni,9,8,2,2,4.5,112.5
AA Noffke,9,10,1,1,9.0,90.0
AB Agarkar,176,150,8,17,22.0,117.33
AB Barath,42,42,2,3,21.0,100.0
AB Dinda,26,48,9,16,2.89,54.17
AB McDonald,123,98,4,8,30.75,125.51
AB de Villiers,4969,3288,123,166,40.4,151.13
AC Blizzard,120,90,7,7,17.14,133.33
AC Gilchrist,2046,1483,76,80,26.92,137.96
AC Thomas,20,19,2,4,10.0,105.26
AC Voges,181,143,6,7,30.17,126.57
AD Hales,147,117,6,6,24.5,125.64
AD Mascarenhas,52,50,9,10,5.78,104.0
AD Mathews,721,570,31,40,23.26,126.49
AD Nath,90,98,10,10,9.0,91.84
AD Russell,2558,1468,89,112,28.74,174.25
AF Milne,23,29,5,6,4.6,79.31
AG Murtaza,10,14,1,3,10.0,71.43
AG Paunikar,48,55,5,5,9.6,87.27
AJ Finch,2030,1585,82,88,24.76,128.08
AJ Hosein,16,10,0,1,16.0,160.0
AJ Turner,24,28,5,6,4.8,85.71
AJ Tye,66,64,8,12,8.25,103.12
AK Markram,1434,1062,46,55,31.17,135.03
AL Menaria,395,354,22,23,17.95,111.58
AM Nayar,664,573,39,50,17.03,115.88
AM Rahane,4884,3908,164,181,29.78,124.97
AN Ahmed,36,26,1,6,36.0,138.46
