batsman,bowler,runs,balls,dismissals,sr
A Ashish Reddy,AD Mathews,25,12,0,208.33
A Ashish Reddy,DJ Bravo,24,13,1,184.62
A Badoni,AD Russell,22,13,0,169.23
A Badoni,AR Patel,11,10,0,110.0
A Badoni,Arshdeep Singh,13,12,1,108.33
A Badoni,Azmatullah Omarzai,21,12,0,175.0
A Badoni,CV Varun,18,16,0,112.5
A Badoni,HH Pandya,20,14,1,142.86
A Badoni,KV Sharma,28,12,0,233.33
A Badoni,Kuldeep Yadav,13,14,1,92.86
A Badoni,LH Ferguson,23,14,0,164.29
A Badoni,M Jansen,16,13,0,123.08
A Badoni,MM Sharma,23,12,1,191.67
A Badoni,Mohammed Shami,16,11,0,145.45
A Badoni,Mohammed Siraj,21,18,0,116.67
A Badoni,Mukesh Kumar,43,24,1,179.17
A Badoni,PWH de Silva,14,13,0,107.69
A Badoni,R Shepherd,29,14,1,207.14
A Badoni,Rashid Khan,28,27,1,103.7
A Badoni,SM Curran,18,14,1,128.57
A Badoni,SP Narine,30,30,3,100.0
A Badoni,Sandeep Sharma,21,12,0,175.0
A Badoni,T Natarajan,38,18,0,211.11
A Badoni,TA Boult,7,13,3,53.85
A Badoni,TU Deshpande,23,19,2,121.05
A Badoni,Vijaykumar Vyshak,38,13,0,292.31
A Badoni,YS Chahal,17,17,2,100.0
A Manohar,AR Patel,12,12,0,100.0
A Manohar,B Kumar,16,11,1,145.45
A Manohar,JJ Bumrah,16,12,0,133.33
A Manohar,KK Ahmed,2,10,1,20.0
A Manohar,Kuldeep Yadav,13,19,1,68.42
A Manohar,MJ Santner,5,12,0,41.67
A Manohar,PP Chawla,19,10,0,190.0
A Manohar,TA Boult,25,11,1,227.27
A Manohar,YS Chahal,23,12,1,191.67
A Mhatre,B Kumar,38,12,0,316.67
A Mhatre,KH Pandya,15,11,0,136.36
A Mhatre,TU Deshpande,21,11,1,190.91
A Mishra,AB Dinda,18,14,1,128.57
A Mishra,HV Patel,11,14,1,78.57
A Mishra,Harbhajan Singh,13,15,0,86.67
A Mishra,JO Holder,11,10,0,110.0
A Mishra,KA Pollard,4,10,1,40.0
A Mishra,KV Sharma,6,15,0,40.0
A Mishra,L Balaji,23,14,0,164.29
A Mishra,M Morkel,12,10,1,120.0
A Mishra,MM Patel,32,17,1,188.24
A Mishra,R Ashwin,5,12,1,41.67
A Mishra,SC Ganguly,14,15,0,93.33
A Mishra,SK Trivedi,14,15,1,93.33
A Mishra,SL Malinga,5,14,2,35.71
A Mishra,SR Watson,7,12,0,58.33
A Raghuvanshi,AR Patel,16,12,0,133.33
A Raghuvanshi,KH Pandya,12,12,0,100.0
A Raghuvanshi,M Theekshana,18,11,0,163.64
A Raghuvanshi,PWH de Silva,27,17,0,158.82
A Raghuvanshi,R Parag,15,11,0,136.36
A Raghuvanshi,Ravi Bishnoi,14,11,0,127.27
A Raghuvanshi,V Nigam,23,11,0,209.09
A Raghuvanshi,YS Chahal,14,10,1,140.0
A Raghuvanshi,Zeeshan Ansari,16,10,0,160.0
A Symonds,A Kumble,13,13,2,100.0
A Symonds,A Mishra,60,42,3,142.86
A Symonds,AB Agarkar,27,19,2,142.11
A Symonds,DP Nannes,26,14,0,185.71
A Symonds,DT Christian,11,12,0,91.67
A Symonds,DW Steyn,36,23,1,156.52
A Symonds,I Sharma,13,15,1,86.67
A Symonds,IK Pathan,16,10,0,160.0
A Symonds,JA Morkel,24,18,1,133.33
A Symonds,JH Kallis,29,17,0,170.59
A Symonds,L Balaji,21,12,0,175.0
A Symonds,M Kartik,18,22,0,81.82
A Symonds,M Morkel,12,14,0,85.71
A Symonds,M Muralitharan,5,14,0,35.71
A Symonds,Mohammad Hafeez,3,13,0,23.08
A Symonds,P Kumar,20,14,0,142.86
A Symonds,PP Chawla,35,25,0,140.0
A Symonds,R Ashwin,19,15,1,126.67
A Symonds,R Vinay Kumar,20,11,0,181.82
A Symonds,RE van der Merwe,14,11,1,127.27
A Symonds,S Sreesanth,35,12,0,291.67
A Symonds,SB Jakati,32,19,0,168.42
A Symonds,SK Trivedi,43,20,1,215.0
A Symonds,SK Warne,65,37,0,175.68
A Symonds,SR Watson,12,14,0,85.71
A Symonds,UT Yadav,13,12,0,108.33
A Symonds,WA Mota,10,11,0,90.91
A Symonds,Yuvraj Singh,11,15,2,73.33
AA Bilakhia,A Mishra,7,11,1,63.64
AA Bilakhia,A Nehra,12,12,0,100.0
AA Jhunjhunwala,DS Kulkarni,18,13,0,138.46
AA Jhunjhunwala,JH Kallis,9,12,1,75.0
AA Jhunjhunwala,M Kartik,19,16,1,118.75
AA Jhunjhunwala,PJ Sangwan,9,13,0,69.23
AA Jhunjhunwala,S Ladda,16,14,0,114.29
AB de Villiers,A Ashish Reddy,46,18,0,255.56
AB de Villiers,A Chandila,26,11,0,236.36
AB de Villiers,A Flintoff,34,12,0,283.33
AB de Villiers,A Kumble,39,41,0,95.12
AB de Villiers,A Mishra,40,37,1,108.11
AB de Villiers,A Nehra,54,25,2,216.0
AB de Villiers,A Nortje,16,11,2,145.45
AB de Villiers,A Symonds,15,12,0,125.0
AB de Villiers,AB Dinda,50,17,0,294.12
AB de Villiers,AD Mascarenhas,8,13,1,61.54
AB de Villiers,AD Russell,83,35,1,237.14
AB de Villiers,AG Murtaza,18,18,1,100.0
AB de Villiers,AJ Tye,23,21,1,109.52
AB de Villiers,AR Patel,71,70,2,101.43
AB de Villiers,AS Rajpoot,33,14,0,235.71
AB de Villiers,Ankit Sharma,39,20,0,195.0
AB de Villiers,Avesh Khan,9,12,0,75.0
AB de Villiers,Azhar Mahmood,20,16,1,125.0
AB de Villiers,B Akhil,16,14,0,114.29
AB de Villiers,B Kumar,68,41,3,165.85
AB de Villiers,BB Sran,19,16,1,118.75
AB de Villiers,CH Morris,71,33,0,215.15
AB de Villiers,CV Varun,17,14,0,121.43
AB de Villiers,DJ Bravo,68,44,1,154.55
AB de Villiers,DJ Hussey,23,12,1,191.67
