player,runs_given,balls,wickets,matches,economy,avg
A Ashish Reddy,381,256,18,19,8.93,21.17
A Badoni,50,35,4,7,8.57,12.5
A Chandila,245,234,11,12,6.28,22.27
A Choudhary,137,101,5,5,8.14,27.4
A Dananjaya,46,24,0,1,11.5,999.0
A Flintoff,106,66,2,3,9.64,53.0
A Kamboj,275,189,10,11,8.73,27.5
A Kumble,1050,965,49,42,6.53,21.43
A Mishra,4010,3299,179,159,7.29,22.4
A Mithun,440,288,8,16,9.17,55.0
A Nehra,2417,1884,119,87,7.7,20.31
A Nel,31,18,1,1,10.33,31.0
A Nortje,1586,1072,63,47,8.88,25.17
A Singh,621,473,31,23,7.88,20.03
A Symonds,676,527,23,30,7.7,29.39
A Uniyal,65,36,3,2,10.83,21.67
A Zampa,590,443,31,21,7.99,19.03
AA Chavan,331,248,8,13,8.01,41.38
AA Jhunjhunwala,127,85,1,10,8.96,127.0
AA Kazi,20,12,1,1,10.0,20.0
AA Noffke,36,24,1,1,9.0,36.0
AB Agarkar,1116,776,33,41,8.63,33.82
AB Dinda,1953,1498,81,74,7.82,24.11
AB McDonald,244,174,13,9,8.41,18.77
AC Gilchrist,0,1,1,1,0.0,0.0
AC Thomas,385,297,16,14,7.78,24.06
AC Voges,74,54,1,7,8.22,74.0
AD Mascarenhas,332,284,18,12,7.01,18.44
AD Mathews,1070,791,28,44,8.12,38.21
AD Russell,2718,1758,131,118,9.28,20.75
AF Milne,325,207,9,10,9.42,36.11
AG Murtaza,313,264,12,12,7.11,26.08
AJ Finch,66,43,1,5,9.21,66.0
AJ Hosein,41,24,1,1,10.25,41.0
AJ Tye,961,678,48,29,8.5,20.02
AK Markram,271,187,6,19,8.7,45.17
AL Menaria,140,110,3,12,7.64,46.67
AM Nayar,312,229,9,19,8.17,34.67
AM Rahane,5,6,1,1,5.0,5.0
AM Salvi,195,150,7,7,7.8,27.86
AN Ahmed,468,344,15,17,8.16,31.2
AP Dole,107,66,5,3,9.73,21.4
AR Patel,3953,3213,131,155,7.38,30.18
AS Joseph,684,434,22,22,9.46,31.09
AS Rajpoot,790,529,24,29,8.96,32.92
AS Raut,45,30,0,5,9.0,999.0
AS Roy,211,160,8,10,7.91,26.38
AU Rashid,91,60,2,3,9.1,45.5
AUK Pathan,57,39,0,3,8.77,999.0
Abdul Samad,114,56,2,6,12.21,57.0
Abdur Razzak,19,12,0,1,9.5,999.0
Abhishek Sharma,480,324,11,30,8.89,43.64
Akash Deep,519,278,11,14,11.2,47.18
Akash Madhwal,550,352,26,17,9.38,21.15
Akash Singh,323,205,9,10,9.45,35.89
Aman Hakim Khan,13,6,0,1,13.0,999.0
Anand Rajan,193,149,10,8,7.77,19.3
Ankit Sharma,422,355,12,20,7.13,35.17
Ankit Soni,127,85,2,5,8.96,63.5
Anureet Singh,531,364,18,20,8.75,29.5
Arjun Tendulkar,103,73,4,5,8.47,25.75
Arshad Khan,469,260,12,18,10.82,39.08
Arshad Khan (2),23,12,0,1,11.5,999.0
Arshdeep Singh,2464,1696,104,80,8.72,23.69
Ashwani Kumar,225,123,11,7,10.98,20.45
Atharva Taide,4,1,0,1,24.0,999.0
Avesh Khan,2377,1595,91,74,8.94,26.12
Azhar Mahmood,680,537,31,23,7.6,21.94
Azmatullah Omarzai,462,288,12,15,9.62,38.5
B Akhil,239,188,7,13,7.63,34.14
B Chipli,20,6,0,1,20.0,999.0
B Geeves,90,48,2,2,11.25,45.0
B Kumar,5308,4198,212,189,7.59,25.04
B Laughlin,272,168,10,9,9.71,27.2
B Lee,1060,875,30,38,7.27,35.33
B Stanlake,194,144,7,6,8.08,27.71
BA Bhatt,399,296,13,15,8.09,30.69
BA Stokes,984,689,31,38,8.57,31.74
BAW Mendis,261,216,7,9,7.25,37.29
BB Sran,701,471,20,23,8.93,35.05
BCJ Cutting,423,281,12,17,9.03,35.25
BE Hendricks,227,150,11,7,9.08,20.64
BJ Hodge,301,234,18,20,7.72,16.72
BJ Rohrer,11,6,0,1,11.0,999.0
BMAJ Mendis,36,30,1,2,7.2,36.0
BW Hilfenhaus,476,372,23,17,7.68,20.7
Basil Thampi,726,449,21,22,9.7,34.57
Bipul Sharma,566,426,21,28,7.97,26.95
C Bosch,53,42,1,2,7.57,53.0
C Ganapathy,13,6,0,1,13.0,999.0
C Green,645,439,20,29,8.82,32.25
C Munro,15,12,0,2,7.5,999.0
C Nanda,56,48,2,3,7.0,28.0
C Sakariya,565,426,20,19,7.96,28.25
C de Grandhomme,299,216,7,19,8.31,42.71
CH Gayle,672,518,19,36,7.78,35.37
CH Morris,2196,1672,103,79,7.88,21.32
CJ Anderson,504,297,14,22,10.18,36.0
CJ Dala,33,18,0,1,11.0,999.0
CJ Green,24,17,0,1,8.47,999.0
CJ Jordan,964,626,33,32,9.24,29.21
CJ McKay,60,42,1,2,8.57,60.0
CK Kapugedera,49,17,0,3,17.29,999.0
CK Langeveldt,190,156,13,7,7.31,14.62
CL White,81,42,1,6,11.57,81.0
CR Brathwaite,366,254,16,16,8.65,22.88
CR Woakes,650,440,31,21,8.86,20.97
CRD Fernando,284,234,19,10,7.28,14.95
CV Varun,2301,1840,99,81,7.5,23.24
D Brevis,8,3,1,1,16.0,8.0
D Jansen,49,24,1,1,12.25,49.0
D Kalyankrishna,86,48,2,3,10.75,43.0
D Pretorius,226,150,7,7,9.04,32.29
D Salunkhe,71,47,1,5,9.06,71.0
D Wiese,395,272,17,14,8.71,23.24
D du Preez,53,42,4,2,7.57,13.25
DA Warner,1,1,0,1,6.0,999.0
DAJ Bracewell,31,24,3,1,7.75,10.33
DB Ravi Teja,28,18,1,2,9.33,28.0
DE Bollinger,684,576,43,27,7.12,15.91
DG Nalkande,145,84,6,6,10.36,24.17
DJ Bravo,4236,3120,206,158,8.15,20.56
DJ Harris,26,18,0,2,8.67,999.0
DJ Hooda,491,355,8,32,8.3,61.38
DJ Hussey,478,317,10,26,9.05,47.8
DJ Mitchell,94,48,1,4,11.75,94.0
DJ Muthuswami,108,84,4,6,7.71,27.0
DJ Thornely,38,42,3,4,5.43,12.67
DJ Willey,272,216,7,11,7.56,38.86
DJG Sammy,343,236,14,19,8.72,24.5
DJM Short,23,18,1,2,7.67,23.0
DL Chahar,2473,1891,91,94,7.85,27.18
DL Vettori,886,777,34,34,6.84,26.06
DNT Zoysa,94,66,2,3,8.55,47.0
DP Nannes,762,646,38,29,7.08,20.05
DP Vijaykumar,196,152,4,9,7.74,49.0
DR Sams,492,360,15,16,8.2,32.8
