player,runs_given,balls,wickets,matches,death_economy,death_strike_rate,death_average
KMDN Kulasekara,32,30,2,3,6.4,15.0,16.0
M Theekshana,101,90,10,14,6.73,9.0,10.1
Sohail Tanvir,108,96,18,9,6.75,5.33,6.0
Noor Ahmad,95,80,9,12,7.12,8.89,10.56
DE Bollinger,261,210,26,24,7.46,8.08,10.04
M Ashwin,90,72,6,13,7.5,12.0,15.0
PWH de Silva,68,54,8,9,7.56,6.75,8.5
SW Tait,161,126,14,17,7.67,9.0,11.5
SL Malinga,1176,911,102,108,7.75,8.93,11.53
CK Langeveldt,55,42,4,6,7.86,10.5,13.75
A Kumble,140,106,15,19,7.92,7.07,9.33
SP Narine,975,739,69,97,7.92,10.71,14.13
WD Parnell,252,189,19,25,8.0,9.95,13.26
GB Hogg,107,80,6,13,8.02,13.33,17.83
KH Pandya,142,106,15,20,8.04,7.07,9.47
Harmeet Singh,133,99,9,15,8.06,11.0,14.78
JJ Bumrah,1556,1153,95,127,8.1,12.14,16.38
RD Chahar,126,92,8,16,8.22,11.5,15.75
LE Plunkett,58,42,2,6,8.29,21.0,29.0
Kuldeep Yadav,241,174,17,28,8.31,10.24,14.18
