player,type,expected_points,avg_runs,matches
B Sai Sudharsan,Batsman,44.4,44.4,40
V Suryavanshi,Batsman,41.0,36.0,7
A Mhatre,Batsman,39.3,34.3,7
KL Rahul,Batsman,38.9,38.9,130
DP Conway,Batsman,38.5,38.5,28
H Klaasen,Batsman,38.3,33.3,44
YBK Jaiswal,Batsman,37.4,32.4,65
LMP Simmons,Batsman,37.2,37.2,29
HM Amla,Batsman,35.9,35.9,16
PD Salt,Batsman,35.9,30.9,34
TM Head,Batsman,35.8,30.8,37
DA Warner,Batsman,35.8,35.8,180
CH Gayle,Batsman,35.8,35.8,135
RD Gaikwad,Batsman,35.6,35.6,70
SE Marsh,Batsman,35.3,35.3,68
AB de Villiers,Batsman,34.9,29.9,166
JC Buttler,Batsman,34.6,34.6,118
ML Hayden,Batsman,34.3,34.3,31
RM Patidar,Batsman,34.2,29.2,38
Shubman Gill,Batsman,34.1,34.1,112
MEK Hussey,Batsman,34.1,34.1,58
V Kohli,Batsman,33.6,33.6,253
D Brevis,Batsman,33.4,28.4,16
RD Rickelton,Batsman,32.7,27.7,14
F du Plessis,Batsman,32.6,32.6,146
MN van Wyk,Batsman,32.6,32.6,5
JM Bairstow,Batsman,32.0,32.0,50
N Pooran,Batsman,32.0,27.0,83
JP Inglis,Batsman,31.7,26.7,10
CA Lynn,Batsman,31.6,31.6,41
J Fraser-McGurk,Batsman,31.4,26.4,14
V Sehwag,Batsman,31.4,26.4,102
S Dhawan,Batsman,30.7,30.7,218
Priyansh Arya,Batsman,30.4,25.4,16
Abhishek Sharma,Batsman,30.0,25.0,72
C Green,All-Rounder,30.0,25.0,28
KR Mayers,Batsman,29.9,29.9,12
SR Tendulkar,Batsman,29.9,29.9,78
P Simran Singh,All-Rounder,29.3,24.3,50
JJ Roy,Batsman,29.2,29.2,21
Tilak Varma,Batsman,29.2,29.2,51
WG Jacks,All-Rounder,29.1,24.1,19
PD Collingwood,Batsman,29.0,29.0,7
RR Pant,Batsman,28.8,28.8,120
SA Yadav,Batsman,28.8,28.8,147
Shashank Singh,All-Rounder,28.4,23.4,33
SS Iyer,Batsman,28.3,28.3,127
Q de Kock,Batsman,27.9,27.9,111
KS Williamson,Batsman,27.8,27.8,73
DJ Harris,Batsman,27.8,27.8,4
KP Pietersen,Batsman,27.8,27.8,36
AD Russell,All-Rounder,27.8,22.8,112
G Gambhir,Batsman,27.7,27.7,150
Urvil Patel,All-Rounder,27.7,22.7,3
SK Raina,Batsman,27.7,27.7,198
SV Samson,Batsman,27.6,27.6,167
Salman Butt,Batsman,27.4,27.4,7
Abishek Porel,All-Rounder,27.3,22.3,27
T Stubbs,All-Rounder,27.3,22.3,28
LS Livingstone,All-Rounder,27.3,22.3,46
SR Watson,Batsman,27.2,27.2,139
DR Smith,Batsman,27.0,27.0,88
A Symonds,Batsman,27.0,27.0,36
AM Rahane,Batsman,27.0,27.0,181
SPD Smith,Batsman,26.7,26.7,90
GJ Maxwell,All-Rounder,26.6,21.6,130
BB McCullum,Batsman,26.6,26.6,107
R Dravid,Batsman,26.5,26.5,82
JP Duminy,Batsman,26.5,26.5,74
RG Sharma,Batsman,26.5,26.5,262
MR Marsh,Batsman,26.4,26.4,49
RR Rossouw,All-Rounder,26.4,21.4,22
AK Markram,Batsman,26.1,26.1,55
VR Iyer,Batsman,26.1,26.1,56
E Lewis,Batsman,26.1,26.1,25
Atharva Taide,Batsman,26.0,26.0,10
Ishan Kishan,Batsman,26.0,26.0,109
JM Sharma,All-Rounder,25.9,20.9,47
AC Voges,Batsman,25.9,25.9,7
Ashutosh Sharma,All-Rounder,25.7,20.7,16
Kamran Akmal,All-Rounder,25.7,20.7,6
A Raghuvanshi,Batsman,25.7,25.7,18
Naman Dhir,All-Rounder,25.6,20.6,19
AC Gilchrist,Batsman,25.6,25.6,80
GC Smith,Batsman,25.6,25.6,28
JH Kallis,Batsman,25.6,25.6,94
BJ Rohrer,Batsman,25.6,25.6,7
LJ Wright,All-Rounder,25.4,20.4,5
N Rana,Batsman,25.4,25.4,108
ST Jayasuriya,Batsman,25.3,25.3,30
RV Uthappa,Batsman,25.3,25.3,195
M Vijay,Batsman,25.2,25.2,103
RS Bopara,Batsman,25.2,25.2,21
KC Sangakkara,All-Rounder,25.0,25.0,66
KS Bharat,All-Rounder,24.8,24.8,8
Aniket Verma,All-Rounder,24.7,19.7,12
HH Gibbs,All-Rounder,24.6,24.6,36
S Dube,All-Rounder,24.6,24.6,74
AD Hales,All-Rounder,24.5,24.5,6
MK Pandey,All-Rounder,24.4,24.4,157
SO Hetmyer,All-Rounder,24.4,19.4,75
Dhruv Jurel,All-Rounder,24.2,19.2,34
D Padikkal,All-Rounder,23.9,23.9,73
TH David,All-Rounder,23.8,18.8,44
SC Ganguly,All-Rounder,23.7,23.7,55
KK Nair,All-Rounder,23.6,23.6,70
DJ Mitchell,All-Rounder,23.4,23.4,15
AT Rayudu,All-Rounder,23.4,23.4,185
DPMD Jayawardene,All-Rounder,23.3,23.3,76
MJ Lumb,All-Rounder,23.2,23.2,12
N Wadhera,All-Rounder,23.2,23.2,31
RA Tripathi,All-Rounder,23.1,23.1,97
AJ Finch,All-Rounder,23.1,23.1,88
TM Dilshan,All-Rounder,23.1,23.1,49
OA Shah,All-Rounder,23.0,23.0,22
DA Miller,All-Rounder,22.8,22.8,132
PP Shaw,All-Rounder,22.8,22.8,76
R Ravindra,All-Rounder,22.7,22.7,18
PC Valthaty,All-Rounder,22.5,22.5,22
BJ Hodge,All-Rounder,22.5,22.5,62
MS Dhoni,All-Rounder,22.4,22.4,241
S Badrinath,All-Rounder,22.4,22.4,64
SA Asnodkar,All-Rounder,22.3,22.3,19
Nithish Kumar Reddy,All-Rounder,22.0,22.0,22
JR Hopes,All-Rounder,21.9,21.9,19
R Parag,All-Rounder,21.9,21.9,71
AP Majumdar,All-Rounder,21.8,21.8,4
SM Katich,All-Rounder,21.8,21.8,11
BA Stokes,All-Rounder,21.7,21.7,43
Yuvraj Singh,All-Rounder,21.6,21.6,124
MA Agarwal,All-Rounder,21.6,21.6,122
DJ Hussey,All-Rounder,21.6,21.6,61
M Vohra,All-Rounder,21.5,21.5,50
