,matches,Chennai Super Kings_wins,Deccan Chargers_wins,Delhi Capitals_wins,Delhi Daredevils_wins,Gujarat Lions_wins,Gujarat Titans_wins,Kings XI Punjab_wins,Kochi Tuskers Kerala_wins,Kolkata Knight Riders_wins,Lucknow Super Giants_wins,Mumbai Indians_wins,Pune Warriors_wins,Punjab Kings_wins,Rajasthan Royals_wins,Rising Pune Supergiant_wins,Rising Pune Supergiants_wins,Royal Challengers Bangalore_wins,Royal Challengers Bengaluru_wins,Sunrisers Hyderabad_wins
Chennai Super Kings vs Deccan Chargers,10.0,6.0,4.0,,,,,,,,,,,,,,,,,
Chennai Super Kings vs Delhi Capitals,13.0,7.0,,6.0,,,,,,,,,,,,,,,,
Chennai Super Kings vs Delhi Daredevils,18.0,12.0,,,6.0,,,,,,,,,,,,,,,
Chennai Super Kings vs Gujarat Lions,0.0,0.0,,,,0.0,,,,,,,,,,,,,,
Chennai Super Kings vs Gujarat Titans,8.0,4.0,,,,,4.0,,,,,,,,,,,,,
Chennai Super Kings vs Kings XI Punjab,22.0,14.0,,,,,,8.0,,,,,,,,,,,,
Chennai Super Kings vs Kochi Tuskers Kerala,2.0,1.0,,,,,,,1.0,,,,,,,,,,,
Chennai Super Kings vs Kolkata Knight Riders,31.0,20.0,,,,,,,,11.0,,,,,,,,,,
Chennai Super Kings vs Lucknow Super Giants,5.0,2.0,,,,,,,,,3.0,,,,,,,,,
Chennai Super Kings vs Mumbai Indians,39.0,18.0,,,,,,,,,,21.0,,,,,,,,
Chennai Super Kings vs Pune Warriors,6.0,4.0,,,,,,,,,,,2.0,,,,,,,
Chennai Super Kings vs Punjab Kings,9.0,2.0,,,,,,,,,,,,7.0,,,,,,
Chennai Super Kings vs Rajasthan Royals,31.0,16.0,,,,,,,,,,,,,15.0,,,,,
Chennai Super Kings vs Rising Pune Supergiant,0.0,0.0,,,,,,,,,,,,,,0.0,,,,
Chennai Super Kings vs Rising Pune Supergiants,0.0,0.0,,,,,,,,,,,,,,,0.0,,,
Chennai Super Kings vs Royal Challengers Bangalore,30.0,20.0,,,,,,,,,,,,,,,,10.0,,
Chennai Super Kings vs Royal Challengers Bengaluru,4.0,1.0,,,,,,,,,,,,,,,,,3.0,
Chennai Super Kings vs Sunrisers Hyderabad,22.0,15.0,,,,,,,,,,,,,,,,,,7.0
Deccan Chargers vs Delhi Capitals,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Deccan Chargers vs Delhi Daredevils,11.0,,4.0,,7.0,,,,,,,,,,,,,,,
Deccan Chargers vs Gujarat Lions,0.0,,0.0,,,0.0,,,,,,,,,,,,,,
Deccan Chargers vs Gujarat Titans,0.0,,0.0,,,,0.0,,,,,,,,,,,,,
Deccan Chargers vs Kings XI Punjab,10.0,,3.0,,,,,7.0,,,,,,,,,,,,
Deccan Chargers vs Kochi Tuskers Kerala,1.0,,1.0,,,,,,0.0,,,,,,,,,,,
Deccan Chargers vs Kolkata Knight Riders,9.0,,2.0,,,,,,,7.0,,,,,,,,,,
Deccan Chargers vs Lucknow Super Giants,0.0,,0.0,,,,,,,,0.0,,,,,,,,,
Deccan Chargers vs Mumbai Indians,10.0,,4.0,,,,,,,,,6.0,,,,,,,,
Deccan Chargers vs Pune Warriors,4.0,,3.0,,,,,,,,,,1.0,,,,,,,
Deccan Chargers vs Punjab Kings,0.0,,0.0,,,,,,,,,,,0.0,,,,,,
Deccan Chargers vs Rajasthan Royals,9.0,,2.0,,,,,,,,,,,,7.0,,,,,
Deccan Chargers vs Rising Pune Supergiant,0.0,,0.0,,,,,,,,,,,,,0.0,,,,
Deccan Chargers vs Rising Pune Supergiants,0.0,,0.0,,,,,,,,,,,,,,0.0,,,
Deccan Chargers vs Royal Challengers Bangalore,11.0,,6.0,,,,,,,,,,,,,,,5.0,,
Deccan Chargers vs Royal Challengers Bengaluru,0.0,,0.0,,,,,,,,,,,,,,,,0.0,
Deccan Chargers vs Sunrisers Hyderabad,0.0,,0.0,,,,,,,,,,,,,,,,,0.0
Delhi Capitals vs Delhi Daredevils,0.0,,,0.0,0.0,,,,,,,,,,,,,,,
Delhi Capitals vs Gujarat Lions,0.0,,,0.0,,0.0,,,,,,,,,,,,,,
Delhi Capitals vs Gujarat Titans,7.0,,,3.0,,,4.0,,,,,,,,,,,,,
Delhi Capitals vs Kings XI Punjab,3.0,,,1.0,,,,2.0,,,,,,,,,,,,
Delhi Capitals vs Kochi Tuskers Kerala,0.0,,,0.0,,,,,0.0,,,,,,,,,,,
Delhi Capitals vs Kolkata Knight Riders,12.0,,,6.0,,,,,,6.0,,,,,,,,,,
Delhi Capitals vs Lucknow Super Giants,7.0,,,4.0,,,,,,,3.0,,,,,,,,,
Delhi Capitals vs Mumbai Indians,15.0,,,5.0,,,,,,,,10.0,,,,,,,,
Delhi Capitals vs Pune Warriors,0.0,,,0.0,,,,,,,,,0.0,,,,,,,
Delhi Capitals vs Punjab Kings,8.0,,,6.0,,,,,,,,,,2.0,,,,,,
Delhi Capitals vs Rajasthan Royals,11.0,,,7.0,,,,,,,,,,,4.0,,,,,
Delhi Capitals vs Rising Pune Supergiant,0.0,,,0.0,,,,,,,,,,,,0.0,,,,
Delhi Capitals vs Rising Pune Supergiants,0.0,,,0.0,,,,,,,,,,,,,0.0,,,
Delhi Capitals vs Royal Challengers Bangalore,9.0,,,5.0,,,,,,,,,,,,,,4.0,,
Delhi Capitals vs Royal Challengers Bengaluru,3.0,,,1.0,,,,,,,,,,,,,,,2.0,
Delhi Capitals vs Sunrisers Hyderabad,12.0,,,7.0,,,,,,,,,,,,,,,,5.0
Delhi Daredevils vs Gujarat Lions,4.0,,,,3.0,1.0,,,,,,,,,,,,,,
Delhi Daredevils vs Gujarat Titans,0.0,,,,0.0,,0.0,,,,,,,,,,,,,
Delhi Daredevils vs Kings XI Punjab,22.0,,,,9.0,,,13.0,,,,,,,,,,,,
Delhi Daredevils vs Kochi Tuskers Kerala,2.0,,,,1.0,,,,1.0,,,,,,,,,,,
Delhi Daredevils vs Kolkata Knight Riders,21.0,,,,8.0,,,,,13.0,,,,,,,,,,
Delhi Daredevils vs Lucknow Super Giants,0.0,,,,0.0,,,,,,0.0,,,,,,,,,
Delhi Daredevils vs Mumbai Indians,22.0,,,,11.0,,,,,,,11.0,,,,,,,,
Delhi Daredevils vs Pune Warriors,5.0,,,,3.0,,,,,,,,2.0,,,,,,,
Delhi Daredevils vs Punjab Kings,0.0,,,,0.0,,,,,,,,,0.0,,,,,,
Delhi Daredevils vs Rajasthan Royals,18.0,,,,7.0,,,,,,,,,,11.0,,,,,
Delhi Daredevils vs Rising Pune Supergiant,2.0,,,,2.0,,,,,,,,,,,0.0,,,,
Delhi Daredevils vs Rising Pune Supergiants,2.0,,,,0.0,,,,,,,,,,,,2.0,,,
Delhi Daredevils vs Royal Challengers Bangalore,19.0,,,,6.0,,,,,,,,,,,,,13.0,,
Delhi Daredevils vs Royal Challengers Bengaluru,0.0,,,,0.0,,,,,,,,,,,,,,0.0,
Delhi Daredevils vs Sunrisers Hyderabad,12.0,,,,4.0,,,,,,,,,,,,,,,8.0
Gujarat Lions vs Gujarat Titans,0.0,,,,,0.0,0.0,,,,,,,,,,,,,
Gujarat Lions vs Kings XI Punjab,4.0,,,,,2.0,,2.0,,,,,,,,,,,,
Gujarat Lions vs Kochi Tuskers Kerala,0.0,,,,,0.0,,,0.0,,,,,,,,,,,
Gujarat Lions vs Kolkata Knight Riders,4.0,,,,,3.0,,,,1.0,,,,,,,,,,
