,last_5_avg,last_10_avg,overall_avg,form,trend
BCJ Cutting,14.6,13.2,14.0,Good,Up
CH Gayle,41.6,22.7,35.8,Good,Up
DA Warner,56.2,46.2,35.8,Excellent,Up
DJ Hooda,6.2,10.3,14.5,Poor,Down
KM Jadhav,20.4,17.3,14.8,Excellent,Up
MC Henriques,15.0,13.1,18.0,Average,Up
Mandeep Singh,24.8,15.4,17.5,Excellent,Up
S Aravind,6.2,5.9,5.9,Good,Up
S Dhawan,19.8,31.6,30.7,Poor,Down
SR Watson,5.4,11.5,27.2,Poor,Down
STR Binny,12.6,11.0,13.5,Average,Up
Sachin Baby,18.2,14.1,12.9,Excellent,Up
TM Head,29.2,27.9,30.8,Average,Up
TS Mills,1.6,1.6,1.6,Average,Down
YS Chahal,3.4,2.4,2.3,Excellent,Up
Yuvraj Singh,23.8,23.6,21.6,Good,Up
AM Rahane,27.4,32.4,27.0,Good,Down
AT Rayudu,17.0,29.2,23.4,Poor,Down
BA Stokes,32.6,29.5,21.7,Excellent,Up
HH Pandya,4.4,4.4,19.8,Poor,Down
JC Buttler,18.0,18.6,34.6,Poor,Down
KA Pollard,17.0,20.5,19.9,Average,Down
KH Pandya,26.4,24.9,15.2,Excellent,Up
MA Agarwal,7.6,12.0,21.6,Poor,Down
MS Dhoni,27.6,26.1,22.4,Excellent,Up
N Rana,22.6,16.6,25.4,Average,Up
PA Patel,20.8,17.7,20.5,Good,Up
RG Sharma,21.0,38.4,26.5,Poor,Down
SPD Smith,45.4,30.0,26.7,Excellent,Up
TG Southee,7.2,4.7,6.3,Good,Up
AJ Finch,23.2,26.8,23.1,Good,Down
BB McCullum,19.6,17.9,26.6,Poor,Up
CA Lynn,17.8,27.5,31.6,Poor,Down
G Gambhir,20.6,26.4,27.7,Poor,Down
JJ Roy,25.0,35.5,29.2,Average,Down
KD Karthik,13.8,20.8,20.6,Poor,Down
SK Raina,25.4,22.5,27.7,Average,Up
AR Patel,10.2,11.1,15.5,Poor,Down
DA Miller,8.2,12.6,22.8,Poor,Down
DT Christian,12.4,16.5,11.0,Good,Down
GJ Maxwell,28.0,17.9,21.6,Excellent,Up
HM Amla,31.2,34.3,35.9,Average,Down
M Vohra,18.2,19.6,21.5,Average,Down
MK Tiwary,23.2,20.9,20.3,Good,Up
WP Saha,25.2,24.7,20.5,Excellent,Up
A Mishra,1.6,4.3,6.9,Poor,Down
AP Tare,4.4,6.9,12.6,Poor,Down
CH Morris,20.4,20.9,12.5,Excellent,Down
CR Brathwaite,15.4,12.2,12.9,Good,Up
Iqbal Abdulla,11.6,8.1,6.7,Excellent,Up
KK Nair,32.6,29.6,23.6,Excellent,Up
P Negi,9.2,7.9,10.6,Average,Up
PJ Cummins,8.2,9.7,12.6,Poor,Down
RR Pant,19.8,19.8,28.8,Poor,Down
S Nadeem,2.0,2.0,2.0,Good,Down
SV Samson,14.0,17.4,27.6,Poor,Down
SW Billings,23.6,21.2,18.4,Excellent,Up
Vishnu Vinod,9.2,9.2,9.2,Good,Up
Z Khan,2.8,4.7,4.3,Poor,Down
Basil Thampi,3.4,5.0,5.0,Poor,Down
DR Smith,23.6,23.9,27.0,Average,Down
DS Kulkarni,5.4,7.6,5.2,Good,Down
P Kumar,4.8,4.1,5.9,Average,Up
CR Woakes,6.4,6.8,6.5,Average,Down
Harbhajan Singh,7.8,10.7,9.5,Average,Down
MK Pandey,30.0,23.3,24.4,Excellent,Up
RV Uthappa,13.4,26.0,25.3,Poor,Down
SA Yadav,11.0,17.6,28.8,Poor,Down
SP Narine,1.8,3.3,15.3,Poor,Down
YK Pathan,26.6,30.4,20.7,Excellent,Down
AB de Villiers,29.6,36.6,29.9,Average,Down
A Zampa,3.0,3.0,3.0,Average,Down
AB Dinda,2.4,1.5,1.6,Excellent,Up
CJ Anderson,26.8,30.6,18.6,Excellent,Down
DL Chahar,7.6,4.6,7.3,Good,Up
F du Plessis,34.4,32.8,32.6,Good,Up
Imran Tahir,3.6,4.1,4.1,Average,Down
R Bhatia,6.8,5.7,7.3,Average,Up
RA Tripathi,11.0,19.0,23.1,Poor,Down
B Kumar,4.2,5.4,4.5,Average,Down
NV Ojha,11.0,9.7,16.5,Poor,Up
Rashid Khan,3.6,7.9,9.0,Poor,Down
V Shankar,23.4,18.2,20.0,Good,Up
MM Sharma,6.4,6.0,4.2,Excellent,Up
MP Stoinis,29.2,23.9,20.6,Excellent,Up
VR Aaron,8.0,4.5,4.1,Excellent,Up
MJ McClenaghan,9.2,4.8,4.6,Excellent,Up
V Kohli,57.8,58.5,33.6,Excellent,Down
Ankit Sharma,8.8,8.7,8.7,Good,Up
LH Ferguson,4.8,8.5,8.5,Poor,Down
RD Chahar,9.2,8.6,5.9,Excellent,Up
SN Thakur,5.0,4.9,8.3,Poor,Up
Bipul Sharma,10.4,13.0,11.0,Average,Down
C de Grandhomme,9.6,14.9,14.1,Poor,Down
EJG Morgan,20.2,18.2,18.8,Good,Up
KC Cariappa,4.8,4.8,4.8,Average,Down
SS Iyer,6.0,12.8,28.3,Poor,Down
Sandeep Sharma,3.0,2.5,2.3,Excellent,Up
Ishan Kishan,8.4,25.7,26.0,Poor,Down
AF Milne,4.2,3.8,3.8,Good,Up
JD Unadkat,2.2,3.6,7.5,Poor,Down
S Badree,2.6,2.6,2.6,Average,Down
AD Mathews,13.4,17.2,18.0,Poor,Down
Mohammed Shami,0.8,1.9,3.1,Poor,Down
I Sharma,0.8,2.7,2.8,Poor,Down
Mohammad Nabi,7.0,9.4,9.9,Poor,Down
AJ Tye,4.0,3.8,5.5,Poor,Up
RA Jadeja,15.0,14.9,16.6,Average,Up
KS Williamson,14.8,18.2,27.8,Poor,Down
SE Marsh,29.2,21.5,35.3,Average,Up
JP Faulkner,15.4,14.0,11.9,Excellent,Up
Shakib Al Hasan,20.0,15.0,14.8,Excellent,Up
K Rabada,5.8,3.7,7.2,Average,Up
MG Johnson,3.6,2.4,5.7,Poor,Up
AD Nath,9.4,9.0,9.0,Good,Up
Kuldeep Yadav,3.6,6.5,5.3,Poor,Down
NM Coulter-Nile,4.4,4.0,3.9,Good,Up
UT Yadav,7.6,6.6,4.3,Excellent,Up
KV Sharma,12.4,11.7,8.8,Excellent,Up
Washington Sundar,26.6,19.2,11.9,Excellent,Up
SP Jackson,4.6,7.6,7.6,Poor,Down
Anureet Singh,3.6,4.5,4.5,Poor,Down
MJ Guptill,24.6,17.6,20.8,Good,Up
PJ Sangwan,3.8,2.4,1.9,Excellent,Up
S Kaul,3.4,2.2,2.2,Excellent,Up
LMP Simmons,40.6,41.8,37.2,Good,Down
MN Samuels,7.6,13.2,11.5,Poor,Down
R Tewatia,11.8,8.5,14.6,Average,Up
Swapnil Singh,5.0,5.7,5.7,Average,Down
MM Patel,1.2,3.9,3.2,Poor,Down
SS Tiwary,22.2,23.6,20.5,Good,Down
TA Boult,3.2,4.3,3.7,Average,Down
JJ Bumrah,1.8,2.1,2.6,Poor,Down
SL Malinga,1.8,4.2,4.6,Poor,Down
CJ Jordan,4.0,6.3,6.3,Poor,Down
IR Jaggi,8.6,10.9,10.9,Poor,Down
AS Rajpoot,2.8,3.7,3.7,Poor,Down
PP Chawla,5.6,8.1,7.3,Poor,Down
DJ Bravo,9.4,7.5,14.1,Poor,Up
E Lewis,14.6,22.4,26.1,Poor,Down
C Munro,14.2,17.3,16.1,Average,Down
KL Rahul,26.6,36.7,38.9,Poor,Down
AD Russell,26.6,22.7,22.8,Good,Up
Q de Kock,29.4,26.0,27.9,Good,Up
R Vinay Kumar,3.4,8.7,7.7,Poor,Down
RK Singh,18.0,19.2,21.2,Average,Down
SN Khan,19.4,13.2,15.4,Excellent,Up
DJM Short,21.0,16.4,16.4,Excellent,Up
K Gowtham,10.8,8.8,9.0,Good,Up
S Gopal,4.6,6.5,8.2,Poor,Down
TK Curran,18.8,12.7,12.7,Excellent,Up
M Markande,6.0,4.8,4.8,Excellent,Up
Mujeeb Ur Rahman,2.4,2.0,2.0,Good,Up
R Ashwin,8.0,7.6,9.1,Average,Up
Shivam Mavi,5.6,4.4,4.6,Excellent,Up
Shubman Gill,37.0,50.1,34.1,Good,Down
