,matches,avg_powerplay_score,avg_powerplay_wickets,powerplay_run_rate,total_runs,total_wickets
Royal Challengers Bengaluru,30.0,58.6,1.3,9.77,1758.0,39.0
Punjab Kings,72.0,52.7,1.65,8.78,3791.0,119.0
Delhi Capitals,100.0,52.3,1.64,8.72,5233.0,164.0
Gujarat Lions,29.0,51.9,1.41,8.65,1505.0,41.0
Gujarat Titans,60.0,50.2,1.17,8.37,3014.0,70.0
Lucknow Super Giants,57.0,49.7,1.47,8.28,2832.0,84.0
Sunrisers Hyderabad,191.0,49.5,1.31,8.26,9451.0,250.0
Rising Pune Supergiant,16.0,49.1,1.38,8.18,785.0,22.0
Kochi Tuskers Kerala,14.0,48.6,1.64,8.1,680.0,23.0
Kolkata Knight Riders,259.0,48.1,1.55,8.03,12466.0,402.0
Rajasthan Royals,229.0,47.4,1.34,7.9,10859.0,306.0
Mumbai Indians,273.0,47.4,1.37,7.9,12934.0,373.0
Kings XI Punjab,186.0,47.0,1.47,7.84,8743.0,274.0
Chennai Super Kings,250.0,46.7,1.3,7.78,11671.0,326.0
Delhi Daredevils,158.0,45.7,1.69,7.62,7219.0,267.0
Rising Pune Supergiants,14.0,45.6,1.14,7.6,638.0,16.0
Deccan Chargers,75.0,45.6,1.45,7.59,3417.0,109.0
Royal Challengers Bangalore,234.0,45.4,1.39,7.56,10615.0,325.0
Pune Warriors,45.0,42.1,1.69,7.02,1895.0,76.0
