,toss_wins,match_wins_after_toss,toss_advantage
Chennai Super Kings,126.0,78.0,61.9
Deccan Chargers,43.0,19.0,44.2
Delhi Capitals,56.0,29.0,51.8
Delhi Daredevils,79.0,35.0,44.3
Gujarat Lions,14.0,10.0,71.4
Gujarat Titans,29.0,19.0,65.5
Kings XI Punjab,83.0,35.0,42.2
Kochi Tuskers Kerala,8.0,4.0,50.0
Kolkata Knight Riders,127.0,71.0,55.9
Lucknow Super Giants,24.0,13.0,54.2
Mumbai Indians,148.0,82.0,55.4
Pune Warriors,20.0,3.0,15.0
Punjab Kings,35.0,17.0,48.6
Rajasthan Royals,123.0,61.0,49.6
Rising Pune Supergiant,6.0,5.0,83.3
Rising Pune Supergiants,7.0,3.0,42.9
Royal Challengers Bangalore,110.0,56.0,50.9
Royal Challengers Bengaluru,15.0,10.0,66.7
Sunrisers Hyderabad,93.0,41.0,44.1
