,matches,avg_1st_innings,avg_2nd_innings,avg_1st_wickets,avg_2nd_wickets,nature,chase_success_rate
"Rajiv Gandhi International Stadium, Uppal",48,156.7,147.3,6.33,5.12,Balanced,46.2
Maharashtra Cricket Association Stadium,22,166.4,152.1,5.95,5.82,Balanced,65.0
Saurashtra Cricket Association Stadium,9,170.7,163.8,5.89,3.89,Batting Friendly,57.1
Holkar Cricket Stadium,9,160.3,158.8,6.89,3.33,Balanced,87.5
M.Chinnaswamy Stadium,14,181.9,176.9,6.36,5.86,Batting Friendly,53.8
Wankhede Stadium,72,166.1,154.3,6.1,6.14,Balanced,51.0
Eden Gardens,77,160.2,147.1,6.23,5.17,Balanced,63.3
M Chinnaswamy Stadium,62,167.5,147.7,6.08,5.48,Balanced,57.4
Feroz Shah Kotla,59,163.4,147.8,6.05,5.71,Balanced,55.9
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,164.1,158.2,5.82,4.64,Balanced,44.4
Green Park,4,161.2,163.2,7.75,4.5,Balanced,100.0
Punjab Cricket Association IS Bindra Stadium,10,175.6,172.0,5.8,4.6,Batting Friendly,66.7
Rajiv Gandhi International Stadium,15,162.6,146.1,6.33,6.33,Balanced,30.0
MA Chidambaram Stadium,9,150.6,134.2,5.33,5.78,Balanced,57.1
Sawai Mansingh Stadium,47,157.7,145.8,5.79,5.23,Balanced,67.9
Arun Jaitley Stadium,13,167.0,152.7,5.85,6.08,Balanced,42.9
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,157.5,130.7,6.31,6.23,Balanced,50.0
Sheikh Zayed Stadium,27,159.0,144.7,5.89,5.26,Balanced,61.5
Sharjah Cricket Stadium,28,159.0,147.5,6.21,5.29,Balanced,65.0
Dubai International Cricket Stadium,43,162.8,147.1,5.77,5.91,Balanced,44.0
"MA Chidambaram Stadium, Chepauk, Chennai",33,164.5,151.6,7.27,5.73,Balanced,52.4
"Wankhede Stadium, Mumbai",52,176.8,167.7,6.27,5.62,Batting Friendly,59.1
"Narendra Modi Stadium, Ahmedabad",33,186.6,170.1,6.21,5.91,Batting Friendly,48.1
"Arun Jaitley Stadium, Delhi",22,200.9,182.5,5.68,6.41,Batting Friendly,47.1
"Zayed Cricket Stadium, Abu Dhabi",8,159.0,150.4,6.75,4.88,Balanced,60.0
"Brabourne Stadium, Mumbai",17,177.4,165.2,6.41,6.0,Batting Friendly,50.0
"Dr DY Patil Sports Academy, Mumbai",20,170.7,158.0,6.3,6.4,Batting Friendly,52.9
"Maharashtra Cricket Association Stadium, Pune",13,171.5,144.5,5.77,7.69,Batting Friendly,27.3
"Eden Gardens, Kolkata",22,196.6,183.3,6.05,6.09,Batting Friendly,38.9
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,197.8,173.4,5.0,7.0,Batting Friendly,40.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",21,177.8,166.0,6.43,5.76,Batting Friendly,66.7
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18,192.5,181.9,6.22,4.89,Batting Friendly,60.0
"M Chinnaswamy Stadium, Bengaluru",19,189.1,179.8,6.21,6.32,Batting Friendly,47.4
"Barsapara Cricket Stadium, Guwahati",5,174.6,161.6,7.2,5.8,Batting Friendly,25.0
"Sawai Mansingh Stadium, Jaipur",17,187.2,171.3,5.18,4.94,Batting Friendly,66.7
"Himachal Pradesh Cricket Association Stadium, Dharamsala",5,208.8,181.2,5.6,8.0,Batting Friendly,20.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10,163.0,155.4,7.9,6.5,Balanced,57.1
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,208.8,178.5,7.5,7.0,Batting Friendly,100.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,228.0,208.0,5.0,6.0,Batting Friendly,0
"Punjab Cricket Association Stadium, Mohali",35,163.3,150.6,6.37,5.37,Balanced,52.4
"MA Chidambaram Stadium, Chepauk",47,166.7,152.2,5.49,6.17,Balanced,30.8
Dr DY Patil Sports Academy,17,146.6,136.3,6.94,5.76,Bowling Friendly,60.0
Newlands,6,137.7,106.3,7.33,5.67,Bowling Friendly,50.0
St George's Park,7,159.0,131.4,4.71,6.29,Balanced,0
Kingsmead,15,152.0,138.2,7.13,6.27,Balanced,60.0
SuperSport Park,12,154.8,149.6,6.33,4.75,Balanced,83.3
Buffalo Park,3,147.3,119.0,6.33,6.33,Bowling Friendly,0
New Wanderers Stadium,8,144.0,142.5,6.5,5.0,Bowling Friendly,50.0
De Beers Diamond Oval,3,158.0,141.0,6.33,6.67,Balanced,100.0
OUTsurance Oval,2,135.0,129.5,6.0,6.5,Bowling Friendly,100.0
Brabourne Stadium,10,180.4,167.7,5.8,6.2,Batting Friendly,50.0
"Sardar Patel Stadium, Motera",11,160.6,145.2,6.64,5.09,Balanced,40.0
Barabati Stadium,7,167.7,157.7,6.0,5.43,Balanced,60.0
"Vidarbha Cricket Association Stadium, Jamtha",3,149.3,144.7,8.0,8.0,Bowling Friendly,0.0
Himachal Pradesh Cricket Association Stadium,9,175.7,146.2,4.78,6.78,Batting Friendly,50.0
Nehru Stadium,5,146.8,125.8,5.6,6.8,Bowling Friendly,33.3
Subrata Roy Sahara Stadium,16,149.4,133.6,5.12,6.31,Bowling Friendly,0.0
Shaheed Veer Narayan Singh International Stadium,6,146.3,143.8,6.17,3.83,Bowling Friendly,66.7
JSCA International Stadium Complex,7,149.0,144.7,5.57,6.0,Bowling Friendly,75.0
