,matches,avg_first_innings_score,bat_first_preference
Eden Gardens,77,160.2,False
Wankhede Stadium,72,166.1,False
M Chinnaswamy Stadium,62,167.5,False
Feroz Shah Kotla,59,163.4,False
"Wankhede Stadium, Mumbai",52,176.8,False
"Rajiv Gandhi International Stadium, Uppal",48,156.7,False
Sawai Mansingh Stadium,47,157.7,False
"MA Chidambaram Stadium, Chepauk",47,166.7,True
Dubai International Cricket Stadium,43,162.8,False
"Punjab Cricket Association Stadium, Mohali",35,163.3,False
"MA Chidambaram Stadium, Chepauk, Chennai",33,164.5,False
"Narendra Modi Stadium, Ahmedabad",33,186.6,False
Sharjah Cricket Stadium,28,159.0,False
Sheikh Zayed Stadium,27,159.0,True
"Eden Gardens, Kolkata",22,196.6,False
Maharashtra Cricket Association Stadium,22,166.4,False
"Arun Jaitley Stadium, Delhi",22,200.9,False
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",21,177.8,False
"Dr DY Patil Sports Academy, Mumbai",20,170.7,False
"M Chinnaswamy Stadium, Bengaluru",19,189.1,False
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18,192.5,False
"Brabourne Stadium, Mumbai",17,177.4,False
Dr DY Patil Sports Academy,17,146.6,False
"Sawai Mansingh Stadium, Jaipur",17,187.2,False
Subrata Roy Sahara Stadium,16,149.4,True
Rajiv Gandhi International Stadium,15,162.6,False
Kingsmead,15,152.0,True
M.Chinnaswamy Stadium,14,181.9,False
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,157.5,False
Arun Jaitley Stadium,13,167.0,False
"Maharashtra Cricket Association Stadium, Pune",13,171.5,False
SuperSport Park,12,154.8,False
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,164.1,False
"Sardar Patel Stadium, Motera",11,160.6,True
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10,163.0,False
Brabourne Stadium,10,180.4,True
Punjab Cricket Association IS Bindra Stadium,10,175.6,False
MA Chidambaram Stadium,9,150.6,False
Himachal Pradesh Cricket Association Stadium,9,175.7,False
Holkar Cricket Stadium,9,160.3,False
Saurashtra Cricket Association Stadium,9,170.7,False
New Wanderers Stadium,8,144.0,False
"Zayed Cricket Stadium, Abu Dhabi",8,159.0,False
Barabati Stadium,7,167.7,False
JSCA International Stadium Complex,7,149.0,False
St George's Park,7,159.0,True
Newlands,6,137.7,True
Shaheed Veer Narayan Singh International Stadium,6,146.3,False
"Himachal Pradesh Cricket Association Stadium, Dharamsala",5,208.8,False
"Barsapara Cricket Stadium, Guwahati",5,174.6,False
Nehru Stadium,5,146.8,False
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,197.8,False
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,208.8,True
Green Park,4,161.2,False
Buffalo Park,3,147.3,True
De Beers Diamond Oval,3,158.0,True
"Vidarbha Cricket Association Stadium, Jamtha",3,149.3,True
OUTsurance Oval,2,135.0,False
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,228.0,True
